"Date","Bot","Page path","Response status codes","Hits","Last hit date"
"10/1/2025","YandexBot/3.0","/post/so-you-want-to-join-the-generative-ai-bandwagon-psst-here-s-a-cheat-sheet","200","1","9/30/2025"
"10/1/2025","OpenAI - user bot","/post/the-data-driven-future-is-here-and-now-with-palantir-foundry","200","2","9/30/2025"
"10/1/2025","Unknown","/","200","2","9/30/2025"
"10/1/2025","Unknown","/ai4lifesciences","200","1","9/30/2025"
"10/1/2025","Meta AI - training bot","/capabilities","200","1","9/30/2025"
"10/1/2025","Unknown","/capabilities/palantir-foundry-services","200","3","9/30/2025"
"10/1/2025","Facebook","/robots.txt","200","1","9/30/2025"
"10/1/2025","Meta AI - training bot","/blog","200","1","9/30/2025"
"10/1/2025","Meta AI - training bot","/","200","2","9/30/2025"
"10/1/2025","bot_type_google_bot","/","200","1","9/30/2025"
"10/1/2025","Ahrefs","/blog","200","1","9/30/2025"
"10/1/2025","duckduckgo","/","200","1","9/30/2025"
"10/1/2025","Meta AI - training bot","/capabilities/palantir-foundry-services","200","1","9/30/2025"
"10/1/2025","Meta AI - training bot","/blog/categories/generative-ai","200","1","9/30/2025"
"10/1/2025","Meta AI - training bot","/blog/categories/advanced-analytics","200","1","9/30/2025"
"10/1/2025","Meta AI - training bot","/ai4lifesciences","200","1","9/30/2025"
"10/1/2025","OpenAI - user bot","/","200","1","9/30/2025"
"9/30/2025","Ahrefs","/blog/tags/intelligentautomation","200","1","9/29/2025"
"9/30/2025","Unknown","/blog/tags/texttovideogeneration","200","1","9/29/2025"
"9/30/2025","Unknown","/post/you-have-your-sales-forecast-now-what","200","1","9/29/2025"
"9/30/2025","bot_type_google_bot","/blog","200","2","9/30/2025"
"9/30/2025","Unknown","/","301","1","9/29/2025"
"9/30/2025","Unknown","/blog/tags/pharmamarketing","200","1","9/29/2025"
"9/30/2025","Unknown","/blog/categories/palantir-foundry-resources","200","1","9/29/2025"
"9/30/2025","Ahrefs","/sitemap.xml","200","1","9/29/2025"
"9/30/2025","Perplexity - training bot","/capabilities/palantir-foundry-services","200","1","9/30/2025"
"9/30/2025","OpenAI - user bot","/contact","200","1","9/29/2025"
"9/30/2025","OpenAI - user bot","/capabilities","200","2","9/30/2025"
"9/30/2025","Amazon AI - training bot","/blog/tags/pharmamarketing","200","1","9/29/2025"
"9/30/2025","OpenAI - user bot","/blog","200","1","9/30/2025"
"9/30/2025","OpenAI - user bot","/blog/categories/generative-ai","200","1","9/30/2025"
"9/30/2025","OpenAI - search bot","/","200","1","9/30/2025"
"9/30/2025","Unknown","/blog/tags/openai","200","1","9/29/2025"
"9/30/2025","Ahrefs","/blog/tags/rare-disease","200","1","9/29/2025"
"9/30/2025","Unknown","/capabilities/Presentation_edited.jpg","200","1","9/29/2025"
"9/30/2025","Unknown","/blog/tags/roi","200","1","9/29/2025"
"9/30/2025","Meta AI - training bot","/blog/categories/palantir-foundry-resources","200","2","9/29/2025"
"9/30/2025","Perplexity - training bot","/","200","1","9/30/2025"
"9/30/2025","Unknown","/blog/categories/events","200","1","9/29/2025"
"9/30/2025","Meta AI - training bot","/post/the-data-driven-future-is-here-and-now-with-palantir-foundry","200","1","9/30/2025"
"9/30/2025","OpenAI - training bot","/","200","1","9/30/2025"
"9/30/2025","Unknown","/blank","200","1","9/29/2025"
"9/30/2025","Unknown","/post/making-data-science-and-ai-initiatives-efficient-and-scalable","200","1","9/29/2025"
"9/30/2025","Ahrefs","/post/you-have-your-sales-forecast-now-what","304","1","9/29/2025"
"9/30/2025","OpenAI - user bot","/post/the-data-driven-future-is-here-and-now-with-palantir-foundry","200","1","9/30/2025"
"9/30/2025","Unknown","/blog/tags/big-pharma","200","1","9/29/2025"
"9/30/2025","Perplexity - training bot","/post/embracing-ai-the-future-of-pharma-marketing","200","1","9/29/2025"
"9/30/2025","OpenAI - user bot","/blog/categories/advanced-analytics","200","1","9/30/2025"
"9/30/2025","OpenAI - user bot","/","200","3","9/30/2025"
"9/30/2025","OpenAI - user bot","/blog/categories/palantir-foundry-resources","200","2","9/29/2025"
"9/30/2025","Unknown","/blog/tags/oncology","200","1","9/29/2025"
"9/30/2025","Ahrefs","/","200","1","9/30/2025"
"9/30/2025","Unknown","/post/embracing-ai-the-future-of-pharma-marketing","200","1","9/29/2025"
"9/30/2025","Ahrefs","/blog/categories/advanced-analytics","200","1","9/30/2025"
"9/30/2025","Unknown","/post/so-you-want-to-join-the-generative-ai-bandwagon-psst-here-s-a-cheat-sheet","200","1","9/30/2025"
"9/30/2025","Facebook","/robots.txt","200","1","9/30/2025"
"9/30/2025","Unknown","/blog/tags/gpt-4","200","1","9/29/2025"
"9/30/2025","Unknown","/post/pioneering-ai-for-a-competitive-edge-at-the-pharma-marketing-summit","200","1","9/29/2025"
"9/30/2025","Unknown","/blog/tags/cell-and-gene-therapy","200","1","9/29/2025"
"9/30/2025","Unknown","/","200","6","9/30/2025"
"9/30/2025","Ahrefs","/blog/tags/big-pharma","200","1","9/29/2025"
"9/30/2025","Unknown","/blog/tags/ai","200","1","9/29/2025"
"9/30/2025","bot_type_google_bot","/","200","3","9/30/2025"
"9/30/2025","Unknown","/blog/tags/generatedcontent","200","1","9/29/2025"
"9/30/2025","Unknown","/ai4lifesciences","200","1","9/30/2025"
"9/30/2025","Unknown","/blog/tags/marketing","200","1","9/29/2025"
"9/30/2025","OpenAI - user bot","/ai4lifesciences","200","2","9/30/2025"
"9/30/2025","Unknown","/blog/tags/exogenous-factors","200","1","9/29/2025"
"9/30/2025","Unknown","/blog/tags/rare-disease","200","1","9/29/2025"
"9/30/2025","Perplexity - training bot","/ai4lifesciences","200","1","9/30/2025"
"9/30/2025","OpenAI - user bot","/post/making-data-science-and-ai-initiatives-efficient-and-scalable","200","1","9/29/2025"
"9/30/2025","Perplexity - training bot","/blog/categories/generative-ai","200","1","9/30/2025"
"9/30/2025","SemrushBot","/blog/tags/openai","200","2","9/29/2025"
"9/30/2025","Unknown","/capabilities","200","5","9/30/2025"
"9/30/2025","Unknown","/post/navigating-the-future-the-role-of-pharma-analytics-in-precision-medicine","200","1","9/29/2025"
"9/30/2025","Unknown","/blog","200","1","9/30/2025"
"9/30/2025","Meta AI - training bot","/blog/categories/events","200","2","9/29/2025"
"9/30/2025","Unknown","/post/ai-in-pharma-marketing-at-the-crossroads-of-revolution","200","1","9/29/2025"
"9/30/2025","Perplexity - training bot","/capabilities","200","1","9/30/2025"
"9/30/2025","Meta AI - training bot","/capabilities","200","1","9/30/2025"
"9/30/2025","bot_type_google_bot","/capabilities/palantir-foundry-services","200","1","9/30/2025"
"9/30/2025","Ahrefs","/blog/tags/oncology","200","1","9/29/2025"
"9/30/2025","Unknown","/blog/tags/innovation","200","1","9/29/2025"
"9/30/2025","Unknown","/blog/tags/content","200","1","9/29/2025"
"9/30/2025","Meta AI - training bot","/capabilities/palantir-foundry-services","200","1","9/30/2025"
"9/30/2025","Unknown","/blog/tags/intelligentautomation","200","1","9/29/2025"
"9/30/2025","OpenAI - user bot","/blank","200","2","9/29/2025"
"9/30/2025","Unknown","/blog/categories/generative-ai","200","1","9/30/2025"
"9/30/2025","Meta AI - training bot","/","200","3","9/30/2025"
"9/30/2025","Unknown","/capabilities/palantir-foundry-services","200","3","9/30/2025"
"9/30/2025","Meta AI - training bot","/careers-apply","404","2","9/29/2025"
"9/30/2025","Unknown","/multichannel-pathway-analytics-next-best-action","404","1","9/29/2025"
"9/30/2025","Meta AI - training bot","/post/making-data-science-and-ai-initiatives-efficient-and-scalable","200","1","9/29/2025"
"9/30/2025","Unknown","/sitemap.xml","304","1","9/29/2025"
"9/30/2025","Unknown","/contact","200","2","9/29/2025"
"9/30/2025","OpenAI - user bot","/post/embracing-ai-the-future-of-pharma-marketing","200","1","9/29/2025"
"9/30/2025","bot_type_google_bot","/home","200","1","9/29/2025"
"9/30/2025","Unknown","/blog/tags/lifesciences","200","1","9/29/2025"
"9/30/2025","Unknown","/blog/tags/sora","200","1","9/29/2025"
"9/30/2025","Unknown","/post/the-data-driven-future-is-here-and-now-with-palantir-foundry","200","1","9/30/2025"
"9/30/2025","OpenAI - user bot","/capabilities/palantir-foundry-services","200","2","9/30/2025"
"9/30/2025","Unknown","/blog/categories/advanced-analytics","200","1","9/30/2025"
"9/30/2025","Ahrefs","/blog/categories/generative-ai","200","1","9/30/2025"
"9/29/2025","duckduckgo","/","200","2","9/30/2025"
"9/29/2025","Ahrefs","/","200","1","9/30/2025"
"9/29/2025","bot_type_google_bot","/","200","1","9/30/2025"
"9/29/2025","Meta AI - training bot","/post/so-you-want-to-join-the-generative-ai-bandwagon-psst-here-s-a-cheat-sheet","200","1","9/30/2025"
"9/29/2025","Facebook","/robots.txt","200","1","9/30/2025"
"9/29/2025","Meta AI - training bot","/capabilities/palantir-foundry-services","200","2","9/30/2025"
"9/29/2025","OpenAI - user bot","/capabilities/palantir-foundry-services","200","1","9/30/2025"
"9/29/2025","Meta AI - training bot","/ai4lifesciences","200","2","9/30/2025"
"9/29/2025","Unknown","/","301","3","9/29/2025"
"9/29/2025","OpenAI - user bot","/ai4lifesciences","200","1","9/30/2025"
"9/29/2025","Ahrefs","/blog/tags/innovation","200","1","9/29/2025"
"9/29/2025","OpenAI - user bot","/","200","4","9/30/2025"
"9/29/2025","Meta AI - training bot","/","200","3","9/30/2025"
"9/29/2025","Meta AI - training bot","/blog/categories/generative-ai","200","1","9/30/2025"
"9/29/2025","OpenAI - user bot","/blog/categories/generative-ai","200","1","9/30/2025"
"9/29/2025","Perplexity - training bot","/blog","200","1","9/30/2025"
"9/29/2025","Unknown","/blog","200","3","9/30/2025"
"9/29/2025","SemrushBot","/","200","2","9/30/2025"
"9/29/2025","Ahrefs","/post/pioneering-ai-for-a-competitive-edge-at-the-pharma-marketing-summit","200","1","9/29/2025"
"9/29/2025","OpenAI - user bot","/blog/categories/palantir-foundry-resources","200","1","9/29/2025"
"9/29/2025","Unknown","/capabilities/palantir-foundry-services","200","1","9/30/2025"
"9/29/2025","Ahrefs","/blog/tags/pharmamarketing","200","1","9/29/2025"
"9/29/2025","Ahrefs","/pages-sitemap.xml","200","1","9/28/2025"
"9/29/2025","Unknown","/sellers.json","400","1","9/28/2025"
"9/29/2025","Perplexity - training bot","/ai4lifesciences","200","1","9/30/2025"
"9/29/2025","OpenAI - user bot","/blog/categories/advanced-analytics","200","1","9/30/2025"
"9/29/2025","Perplexity - training bot","/blog/categories/advanced-analytics","200","1","9/30/2025"
"9/29/2025","Ahrefs","/blog/tags/sora","200","1","9/29/2025"
"9/29/2025","OpenAI - user bot","/post/making-data-science-and-ai-initiatives-efficient-and-scalable","200","1","9/29/2025"
"9/29/2025","Unknown","/","200","2","9/30/2025"
"9/29/2025","SemrushBot","/blog/tags/sora","200","2","9/29/2025"
"9/29/2025","Perplexity - training bot","/capabilities","200","1","9/30/2025"
"9/29/2025","Meta AI - training bot","/capabilities","200","1","9/30/2025"
"9/29/2025","Ahrefs","/blog-categories-sitemap.xml","200","2","9/28/2025"
"9/29/2025","Meta AI - training bot","/careers-apply","404","1","9/29/2025"
"9/29/2025","Perplexity - training bot","/blog/categories/palantir-foundry-resources","200","1","9/29/2025"
"9/29/2025","OpenAI - user bot","/capabilities","200","1","9/30/2025"
"9/29/2025","OpenAI - user bot","/blank","200","1","9/29/2025"
"9/29/2025","Ahrefs","/blog-posts-sitemap.xml","200","2","9/28/2025"
"9/29/2025","Meta AI - training bot","/post/making-data-science-and-ai-initiatives-efficient-and-scalable","200","2","9/29/2025"
"9/29/2025","Googlebot - desktop","/post/so-you-want-to-join-the-generative-ai-bandwagon-psst-here-s-a-cheat-sheet","200","1","9/30/2025"
"9/29/2025","bot_type_google_bot","/capabilities","200","1","9/30/2025"
"9/29/2025","Ahrefs","/blog/tags/marketing","200","1","9/29/2025"
"9/29/2025","OpenAI - user bot","/blog","200","1","9/30/2025"
"9/29/2025","Meta AI - training bot","/blog","200","1","9/30/2025"
"9/28/2025","OpenAI - user bot","/post/embracing-ai-the-future-of-pharma-marketing","200","2","9/29/2025"
"9/28/2025","OpenAI - search bot","/capabilities","200","1","9/30/2025"
"9/28/2025","OpenAI - search bot","/blog/categories/generative-ai","200","1","9/30/2025"
"9/28/2025","YandexBot/3.0","/","200","1","9/30/2025"
"9/28/2025","OpenAI - search bot","/post/ai-in-pharma-marketing-at-the-crossroads-of-revolution","200","1","9/29/2025"
"9/28/2025","OpenAI - search bot","/blog","200","3","9/30/2025"
"9/28/2025","OpenAI - search bot","/post/making-data-science-and-ai-initiatives-efficient-and-scalable","200","1","9/29/2025"
"9/28/2025","OpenAI - search bot","/post/pioneering-ai-for-a-competitive-edge-at-the-pharma-marketing-summit","200","1","9/29/2025"
"9/28/2025","Perplexity - training bot","/","200","2","9/30/2025"
"9/28/2025","Meta AI - training bot","/post/pioneering-ai-for-a-competitive-edge-at-the-pharma-marketing-summit","200","1","9/29/2025"
"9/28/2025","Unknown","/sitemap.xml","304","1","9/29/2025"
"9/28/2025","Meta AI - training bot","/post/making-data-science-and-ai-initiatives-efficient-and-scalable","200","1","9/29/2025"
"9/28/2025","OpenAI - user bot","/ai4lifesciences","200","2","9/30/2025"
"9/28/2025","OpenAI - user bot","/blank","200","2","9/29/2025"
"9/28/2025","Meta AI - training bot","/post/ai-in-pharma-marketing-at-the-crossroads-of-revolution","200","1","9/29/2025"
"9/28/2025","Meta AI - training bot","/capabilities","200","3","9/30/2025"
"9/28/2025","Meta AI - training bot","/ai4lifesciences","200","1","9/30/2025"
"9/28/2025","OpenAI - search bot","/blog/categories/advanced-analytics","200","1","9/30/2025"
