"Date","Session hour","Browser","Page path","Avg. time on page","Page views","Site sessions","Avg. session duration"
"8/31/2025","19","Chrome","/ai4lifesciences","28m, 3s","1","1","28m, 8s"
"8/6/2025","16","Chrome","/post/navigating-the-future-the-role-of-pharma-analytics-in-precision-medicine","7m, 20s","1","1","8m, 4s"
"9/16/2025","5","Chrome","/","5m, 11s","3","1","6m, 2s"
"9/23/2025","1","Chrome","/blank","2m, 49s","1","1","4m, 34s"
"9/16/2025","3","Chrome","/contact","1m, 36s","1","1","1m, 39s"
"7/29/2025","13","Safari","/","1m, 32s","1","1","1m, 32s"
"9/15/2025","15","Chrome","/capabilities/palantir-foundry-services","1m, 29s","1","1","1m, 41s"
"9/30/2025","11","Chrome","/ai4lifesciences","1m, 6s","1","1","1m, 58s"
"7/7/2025","11","Safari","/capabilities","1m, 4s","2","1","3m, 23s"
"7/4/2025","9","Safari","/","1m","1","1","2m, 38s"
"7/20/2025","1","Chrome","/","58s","1","1","1m, 13s"
"9/16/2025","5","Chrome","/capabilities/palantir-foundry-services","51s","1","1","6m, 2s"
"7/10/2025","14","Chrome","/","50s","3","1","1m, 2s"
"7/15/2025","11","Edge","/contact","49s, 500ms","2","1","2m, 1s"
"9/10/2025","22","Chrome","/","49s","1","1","49s"
"8/29/2025","4","Chrome","/ai4lifesciences","49s","1","1","52s"
"7/4/2025","9","Safari","/ai4lifesciences","43s","2","1","2m, 38s"
"7/17/2025","4","Safari","/","43s","2","1","3m, 28s"
"8/28/2025","12","Google App","/","43s","1","1","43s"
"9/23/2025","1","Chrome","/contact","42s","1","1","4m, 34s"
"7/14/2025","12","Chrome","/capabilities/palantir-foundry-services","41s","2","1","49s"
"8/10/2025","15","Safari","/","41s","1","1","41s"
"7/4/2025","21","Chrome","/capabilities/palantir-foundry-services","40s","1","1","45s"
"7/17/2025","4","Safari","/ai4lifesciences","40s","2","1","3m, 28s"
"9/23/2025","11","Chrome","/","35s","3","1","9m, 3s"
"9/23/2025","14","Chrome","/","34s","3","2","1m, 22s"
"7/22/2025","5","Chrome","/contact","34s","3","1","2m, 57s"
"7/13/2025","9","LinkedIn App","/","34s","2","1","46s"
"7/20/2025","12","Safari","/","34s","2","1","41s"
"9/18/2025","5","Chrome","/","33s, 500ms","3","2","50s"
"7/17/2025","4","Safari","/capabilities","33s, 500ms","2","1","3m, 28s"
"7/7/2025","11","Safari","/","32s, 500ms","2","1","3m, 23s"
"9/23/2025","1","Chrome","/","31s, 500ms","3","1","4m, 34s"
"9/6/2025","17","Safari","/","31s, 500ms","2","1","1m, 7s"
"9/25/2025","4","Chrome","/","30s","2","1","54s"
"7/27/2025","21","LinkedIn App","/","29s, 500ms","2","1","1m, 37s"
"9/11/2025","14","Chrome","/","28s","2","1","32s"
"9/11/2025","16","Safari","/blog","27s","1","1","36s"
"7/13/2025","1","Chrome","/capabilities/palantir-foundry-services","27s","1","1","53s"
"9/29/2025","14","Chrome","/","27s","1","1","27s"
"9/23/2025","14","Chrome","/blog","27s","1","1","1m, 22s"
"9/30/2025","11","Chrome","/","27s","1","1","1m, 58s"
"7/13/2025","1","Chrome","/","26s","1","1","53s"
"7/22/2025","5","Chrome","/","25s","5","1","2m, 57s"
"9/11/2025","4","Mobile Samsung Browser","/","25s","2","1","26s"
"7/27/2025","21","LinkedIn App","/blog","24s","1","1","1m, 37s"
"9/25/2025","4","Chrome","/capabilities/palantir-foundry-services","24s","1","1","54s"
"8/28/2025","6","LinkedIn App","/capabilities/palantir-foundry-services","24s","2","1","1m, 8s"
"8/26/2025","12","LinkedIn App","/","24s","1","1","24s"
"7/20/2025","17","Chrome","/","23s","1","1","23s"
"8/4/2025","11","Mobile Samsung Browser","/","23s","2","1","31s"
"9/4/2025","8","Chrome","/contact","22s","1","1","22s"
"8/28/2025","6","LinkedIn App","/","22s","3","1","1m, 8s"
"8/22/2025","1","Chrome","/","22s","1","1","34s"
"8/7/2025","0","Chrome","/","21s","2","1","21s"
"8/11/2025","9","Safari","/","20s","1","1","20s"
"9/30/2025","11","Chrome","/blog","20s","1","1","1m, 58s"
"9/4/2025","16","Chrome","/","18s","1","1","18s"
"8/6/2025","10","Chrome","/capabilities","17s","1","1","27s"
"9/5/2025","22","Chrome","/ai4lifesciences","16s","1","1","1m, 7s"
"8/27/2025","1","Chrome","/","15s","3","1","34s"
"9/15/2025","16","Chrome","/","15s","2","2","19s"
"8/13/2025","18","Chrome","/","15s","1","1","55s"
"9/7/2025","15","Chrome","/capabilities/palantir-foundry-services","14s, 500ms","2","1","1m, 32s"
"9/18/2025","5","Chrome","/ai4lifesciences","14s","1","1","31s"
"8/20/2025","9","Chrome","/","14s","1","1","14s"
"8/13/2025","18","Chrome","/post/making-data-science-and-ai-initiatives-efficient-and-scalable","14s","1","1","55s"
"9/17/2025","10","Safari","/","14s","1","1","45s"
"7/24/2025","21","Safari","/","13s","1","1","13s"
"8/6/2025","7","Safari","/","13s","1","1","13s"
"9/23/2025","11","Chrome","/ai4lifesciences","13s","1","1","9m, 3s"
"8/13/2025","18","Chrome","/blog","13s","2","1","55s"
"7/13/2025","9","LinkedIn App","/contact","12s","1","1","46s"
"9/11/2025","19","Chrome","/capabilities","11s","1","1","21s"
"9/18/2025","5","Chrome","/contact","11s","1","1","1m, 9s"
"7/20/2025","1","Chrome","/ai4lifesciences","11s","2","1","1m, 13s"
"7/15/2025","11","Edge","/","11s","3","1","2m, 1s"
"9/7/2025","15","Chrome","/blog","11s","2","1","1m, 32s"
"7/20/2025","14","Chrome","/","11s","1","1","11s"
"9/17/2025","10","Safari","/ai4lifesciences","10s, 500ms","2","1","45s"
"9/5/2025","22","Chrome","/capabilities/palantir-foundry-services","10s, 333ms","3","1","1m, 7s"
"8/13/2025","18","Chrome","/capabilities/palantir-foundry-services","10s","1","1","55s"
"9/17/2025","6","Chrome","/","10s","1","1","10s"
"9/11/2025","19","Chrome","/","10s","2","1","21s"
"8/6/2025","16","Chrome","/","10s","3","1","8m, 4s"
"8/26/2025","10","Chrome","/","10s","2","2","10s"
